id,prodid,imageurl
1,1,//img.tatacliq.com/images/i9/437Wx649H/MP000000016026284_437Wx649H_202301111806081.jpeg
2,2,//img.tatacliq.com/images/i7/437Wx649H/MP000000011358188_437Wx649H_202112050212521.jpeg
3,3,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003889_437Wx649H_20171109132953.jpeg
4,4,//img.tatacliq.com/images/i8/437Wx649H/MP000000013509044_437Wx649H_202207021915441.jpeg
5,5,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755874_437Wx649H_202212190101141.jpeg
6,6,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179203_437Wx649H_202301221923551.jpeg
7,7,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059184_437Wx649H_202205071820211.jpeg
8,8,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142742_437Wx649H_202211040722351.jpeg
9,9,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522747_437Wx649H_202209180850031.jpeg
10,10,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309533_437Wx649H_202203271633021.jpeg
11,11,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309449_437Wx649H_202203241441091.jpeg
12,12,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003965_437Wx649H_20171109133812.jpeg
13,13,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309531_437Wx649H_202203271710371.jpeg
14,14,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309473_437Wx649H_202203241441211.jpeg
15,15,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142699_437Wx649H_202211040720321.jpeg
16,16,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142736_437Wx649H_202211040722311.jpeg
17,17,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003841_437Wx649H_20171109133134.jpeg
18,18,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059144_437Wx649H_202205071816281.jpeg
19,19,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309471_437Wx649H_202203241441121.jpeg
20,20,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309435_437Wx649H_202203241440261.jpeg
21,21,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309509_437Wx649H_202203241444021.jpeg
22,22,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142877_437Wx649H_202211040729301.jpeg
23,23,//img.tatacliq.com/images/i7/437Wx649H/MP000000011194942_437Wx649H_202111180223271.jpeg
24,24,//img.tatacliq.com/images/i7/437Wx649H/MP000000011194977_437Wx649H_202111180224371.jpeg
25,25,//img.tatacliq.com/images/i8/437Wx649H/MP000000013744044_437Wx649H_202207092129051.jpeg
26,26,//img.tatacliq.com/images/i9/437Wx649H/MP000000016525431_437Wx649H_202302142208071.jpeg
27,27,//img.tatacliq.com/images/i7/437Wx649H/MP000000010747255_437Wx649H_202109282038481.jpeg
28,28,//img.tatacliq.com/images/i7/437Wx649H/MP000000011358143_437Wx649H_202112050210471.jpeg
29,29,//img.tatacliq.com/images/i8/437Wx649H/MP000000012309550_437Wx649H_202203241454321.jpeg
30,30,//img.tatacliq.com/images/i8/437Wx649H/MP000000013059182_437Wx649H_202205071819301.jpeg
31,31,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003901_437Wx649H_20171109133122.jpeg
32,32,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142490_437Wx649H_202211040710381.jpeg
33,33,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142372_437Wx649H_202211040705281.jpeg
34,34,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179328_437Wx649H_202301221930391.jpeg
35,35,//img.tatacliq.com/images/i7/437Wx649H/MP000000010823633_437Wx649H_202110061103531.jpeg
36,36,//img.tatacliq.com/images/i7/437Wx649H/MP000000010823683_437Wx649H_202110061106481.jpeg
37,37,//img.tatacliq.com/images/i8/437Wx649H/MP000000013744029_437Wx649H_202207092128061.jpeg
38,38,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142268_437Wx649H_202211040700371.jpeg
39,39,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142441_437Wx649H_202211040708321.jpeg
40,40,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522784_437Wx649H_202209180851581.jpeg
41,41,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522836_437Wx649H_202209180854541.jpeg
42,42,//img.tatacliq.com/images/i7/437Wx649H/MP000000010793706_437Wx649H_202110020618071.jpeg
43,43,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003905_437Wx649H_20171109133048.jpeg
44,44,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003819_437Wx649H_20171109132457.jpeg
45,45,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142313_437Wx649H_202211040702351.jpeg
46,46,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755658_437Wx649H_202212190050221.jpeg
47,47,//img.tatacliq.com/images/i8/437Wx649H/MP000000014022835_437Wx649H_202208031200571.jpeg
48,48,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522812_437Wx649H_202209180853101.jpeg
49,49,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142259_437Wx649H_202211040700251.jpeg
50,50,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142352_437Wx649H_202211040704351.jpeg
51,51,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179316_437Wx649H_202301221929441.jpeg
52,52,//img.tatacliq.com/images/i2/437Wx649H/MP000000002004009_437Wx649H_20171109133747.jpeg
53,53,//img.tatacliq.com/images/i9/437Wx649H/MP000000016266746_437Wx649H_202301291618401.jpeg
54,54,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003847_437Wx649H_20171109132735.jpeg
55,55,//img.tatacliq.com/images/i8/437Wx649H/MP000000011952571_437Wx649H_202202020216551.jpeg
56,56,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755857_437Wx649H_202212190059261.jpeg
