Id,brand,description,mrp,card,discprice
1,Peter England,Peter England Jeans Multi Cotton Slim Fit Printed Sweatshirt,1749,30,1224
2,U.S. Polo Assn.,U.S. Polo Assn. Red Cotton Regular Fit Logo Printed Hooded Sweatshirt,1949,35,1266
3,Campus Sutra,Campus Sutra Light Grey Full Sleeves Hooded Sweatshirt,749,46,404
4,Puma,Puma Navy Cotton Slim Fit Printed Hooded Sweatshirt,1749,47,926
5,SHOWOFF,Showoff Navy Blue Cotton Regular Fit Printed Hooded Sweatshirt,2210,62,839
6,Arrow,Arrow Newyork Black Cotton Regular Fit Sweatshirt,1499,50,749
7,Puma,Puma Grey Cotton Slim Fit Printed Sweatshirt,1879,53,883
8,SHOWOFF,SHOWOFF Green Cotton Slim Fit Printed Hooded SweatShirt,2024,62,769
9,Van Heusen,Academy By Van Heusen Orange Cotton Slim Fit Printed SweatShirt,899,50,449
10,Puma,Puma Red & Navy Colour-Block Hooded Sweatshirt,2279,43,1299
11,Puma,Puma Graphic Black Printed Hooded Sweatshirt,1849,47,979
12,Campus Sutra,Campus Sutra Steel Blue Full Sleeves Hooded Sweatshirt,799,50,399
13,Puma,Puma Olive Regular Fit Hooded Sweatshirt,2399,40,1439
14,Puma,Puma Graphic Olive Printed Hooded Sweatshirt,1849,47,979
15,SHOWOFF,SHOWOFF Navy Cotton Slim Fit Printed Hooded SweatShirt,2052,62,779
16,SHOWOFF,SHOWOFF Black Cotton Slim Fit Printed Hooded SweatShirt,2024,62,769
17,Campus Sutra,Campus Sutra Black & Grey Cotton Regular Fit Sweatshirt,899,55,404
18,Puma,Puma Black Cotton Slim Fit Printed Sweatshirt,1879,53,883
19,Puma,Puma Graphic Red Printed Hooded Sweatshirt,1849,47,979
20,Puma,Puma Graphic Grey Printed Hooded Sweatshirt,1849,47,979
21,Puma,Puma Graphic Black Printed Hooded Sweatshirt,1819,52,873
22,SHOWOFF,SHOWOFF Green Cotton Slim Fit Printed Hooded SweatShirt,1938,62,736
23,Van Heusen,Van Heusen Navy Cotton Regular Fit Sweatshirt,1499,0,1499
24,Van Heusen,Van Heusen Black Cotton Regular Fit Sweatshirt,1499,0,1499
25,Puma,Puma Red Full Sleeves Hooded Sweatshirt,1389,58,583
26,U.S. Polo Assn.,U.S. Polo Assn. Blue Cotton Regular Fit Hooded Sweatshirt,1750,50,875
27,Puma,Puma Essential Black Hooded Sweatshirt,1849,47,979
